source,target,weight
food,stuff,1
government,stop,1
cancer,cause,102
warts,early,1
wart,type,1
perform,woman,3
diagnosis,early,1
research,fact,1
I,focus,2
model,estimate,1
gay,Prevention,1
meet,team,1
girl,mouth,1
call,count,1
politician,make,1
response,researcher,1
vaccine,type,5
free,state,1
infection,life,1
life,comment,1
record,year,1
transmit,cancer,1
jab,health,1
it,ovarian,2
learn,rare,1
help,bit,1
speak,Gardasil,1
test,let,1
note,Gardasil,1
thing,mom,3
news,fight,1
vaccine,Bill,2
lose,battle,3
HIV,positive,4
recent,report,3
read,Cervix,1
link,scientific,2
single,show,1
guy,HPV,14
anal,young,1
HPV,CDC,14
push,boy,2
woman,follow,3
high,know,2
virus,apparently,1
fact,I,5
face,awareness,1
clinic,January,1
comment,throat,1
number,fear,1
check,friend,1
high,doctor,1
active,girl,2
live,science,1
nigga,Pussy,47
Twitter,Sleep,1
min,till,1
death,Bill,1
woman,husband,4
urge,regular,1
reason,check,1
report,top,1
have,Prevention,4
survivor,understand,1
Guess,know,1
sex,pregnancy,2
show,datum,1
UK,ask,1
vaccine,doctor,2
transmit,infection,3
need,test,5
show,infection,1
show,boy,1
doctor,deadly,1
eat,HPV,8
free,vax,1
I,understand,24
health,school,1
parent,mind,1
old,post,1
can,catch,10
reduce,health,1
January,small,2
detect,woman,2
get,avoid,2
develop,detect,1
question,mind,1
cancer,open,1
partner,reduce,1
researcher,consent,1
news,give,2
test,human,3
month,raise,1
way,transmit,1
screen,abnormal,1
common,study,3
HPV,rate,5
science,sister,1
lady,injection,1
drug,trial,1
Hep,needle,1
prevent,food,1
final,game,1
receive,regular,1
alcohol,drink,1
hour,gynecologist,1
coverage,care,1
FDA,warn,1
leg,ask,1
event,woman,1
make,hard,1
fire,night,1
affect,doctor,1
infect,have,5
HPV,parent,4
call,vaccination,1
spread,low,1
small,USA,1
HPV,apparently,2
girl,expose,1
dose,good,1
find,type,1
old,medical,2
like,super,2
old,vaccine,4
Prevention,post,1
drop,infection,1
CDC,need,1
dose,free,1
question,yesterday,1
clear,real,1
health,exam,1
damage,tie,1
normal,positive,1
teenager,provide,1
Africa,simple,1
plan,pill,1
way,cancer,4
circumcision,risk,27
funny,thing,3
